audiofile,tempo,danceability,instrumentalvoice,style,arousal,valence
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/5Z/5Z54RgCfhRljLVjPZHy5dv.mp3,119.75174713134766,1.027762770652771,voice,Pop---Vocal,3.3042734,4.148719
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/7G/7GgYmXY3PfDjTiyjUlvF7Y.mp3,153.44662475585938,0.9728288650512696,voice,Hip Hop---Trap,4.6827636,5.5222216
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/0z/0zf1BQJ4om2qU0W9muvnLn.mp3,93.74250030517578,1.125426173210144,voice,Rock---Alternative Rock,4.34244,4.190708
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/4s/4sCcDvX30uu39ozvxcRsqB.mp3,108.4242172241211,1.5379652976989746,voice,Pop---K-pop,5.979922,6.669918
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/6Z/6ZBiXweylRlROqwP3ODYgw.mp3,165.3496856689453,1.1518797874450684,voice,Rock---Pub Rock,6.5382075,6.29811
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/4X/4XLVg8qERMwZBy0HHr2DdW.mp3,99.97710418701172,1.78792142868042,voice,Latin---Reggaeton,5.6468005,6.188404
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/4X/4XQETu7QYGbUhTt68kekOn.mp3,86.8661117553711,1.5500636100769043,instrumental,Electronic---Drum n Bass,5.0424404,4.367638
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/4r/4rhaDfV9y5UvGZ67BT8U35.mp3,126.894775390625,1.0144107341766355,voice,Blues---Country Blues,4.4206066,5.102745
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/2D/2DOfw6UDf0eyCdb0SMVZrE.mp3,136.56927490234375,2.317600011825561,voice,Electronic---UK Garage,5.74255,6.2242923
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/5f/5fz5MpkCMxmkwmnPCelvaK.mp3,123.22837829589844,1.0940622091293335,instrumental,Classical---Neo-Romantic,4.900312,4.5062027
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/4k/4kadqVh0yCzjpsbFvvtafG.mp3,102.17899322509766,1.082586646080017,voice,Pop---Vocal,4.2816014,4.849254
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/7g/7g21lXTmZhNx4j2c7Ni6a4.mp3,94.02094268798828,1.4725970029830933,voice,Funk / Soul---Soul,6.0373287,6.52382
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/3c/3cLVS99dde6vmoEnw395SS.mp3,162.8699951171875,1.1142563819885254,voice,Non-Music---Spoken Word,5.0472245,5.8411055
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/6D/6Di0ZM5lts34FhpRhPwt28.mp3,127.92857360839844,1.4093215465545654,voice,Rock---Coldwave,6.5834174,6.5259695
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/4H/4Hzss8q0jDWa2PjXDGqYZL.mp3,99.95402526855467,1.21025550365448,instrumental,Electronic---Ambient,4.247795,4.295515
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/4H/4HQSjQBUNpQxAU0s1OKJoL.mp3,98.03881072998048,1.2030845880508425,instrumental,Hip Hop---Gangsta,4.52591,5.365731
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/6a/6ad10kjPhLwQgdfQRtkVhe.mp3,115.75354766845705,1.3367782831192017,instrumental,Hip Hop---Cloud Rap,4.9236073,4.9478846
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/6a/6asQj4fkjQw92XUkoHiukh.mp3,135.033447265625,1.1210150718688965,voice,Electronic---Dubstep,5.4509273,6.3239317
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/77/77j9SlhRd4MBGU998c7dnw.mp3,76.8984603881836,1.4810618162155151,instrumental,Blues---Piano Blues,5.0890665,4.763496
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/6h/6hae4FKhe6GE6VPjo9avaB.mp3,172.26556396484375,1.0840017795562744,instrumental,Rock---Death Metal,1.2443814,4.6482434
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/41/41JLeAkwHqFQwmIHEqHc1a.mp3,83.67725372314453,1.293192744255066,voice,Rock---Twist,5.839927,5.5072336
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/3W/3WquUOQuUHIJc7l86FGA52.mp3,67.79236602783203,1.469809889793396,voice,Hip Hop---Crunk,5.3251157,7.2358437
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/2t/2teSLnlDwFbAFza8rZihj0.mp3,128.0302276611328,2.550506591796875,voice,Electronic---Italo-Disco,6.485261,5.9280777
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/35/35U4PXL3W3XIkAjEUdhr36.mp3,105.9369888305664,1.6009820699691772,instrumental,Electronic---Nu-Disco,5.3453627,5.342206
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/4p/4pIiKrGXCgTZOAFGJjCEvL.mp3,162.05320739746094,1.1067707538604736,voice,Latin---Mariachi,5.53968,5.10436
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/4p/4ptPiH5pwgLj2M2gFhu0uz.mp3,89.92945861816406,1.3494080305099487,instrumental,Hip Hop---Instrumental,5.493926,4.631807
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/57/57a8sOc39lnCZzEmRWppce.mp3,154.72377014160156,1.2550554275512695,voice,Rock---Alternative Rock,4.885906,6.3014536
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/57/57HvueguHroRluYYB4Nk26.mp3,128.52398681640625,1.5209667682647705,voice,Electronic---EBM,5.467338,6.972059
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/6L/6LdKmpe4OMYKPBijgI9423.mp3,99.7860336303711,1.343430757522583,voice,Folk_ World_ & Country---Folk,5.17654,4.898875
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/2E/2ERG0rdikiQy2858baYqV5.mp3,97.1290283203125,1.2519099712371826,instrumental,Children's---Educational,5.3924136,6.036215
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/7r/7rkl4JNJFOSbrMrrT2KJjS.mp3,114.0267333984375,1.544395923614502,voice,Electronic---House,5.6938677,5.797756
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/7r/7rVhW9T2OxhHTkMrjLf2w4.mp3,128.14883422851562,1.2004958391189575,voice,Rock---Alternative Rock,5.1647954,6.403712
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/0P/0PJDYtpq8UIi2a3pCwOONd.mp3,112.0511245727539,0.96829354763031,voice,Electronic---Synth-pop,4.5658736,4.4449515
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/5d/5dZDQPiC2PGom8Q8pEqKgW.mp3,135.5364532470703,1.6749776601791382,instrumental,Rock---Hard Rock,4.702522,5.313501
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/2J/2Jok6fkKmcP7Lp7XLzQ1wj.mp3,128.07125854492188,1.589138746261597,voice,Funk / Soul---Soul,5.2527328,5.694182
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/3S/3ShMfVYb97EAhZ16HZzS25.mp3,107.7935791015625,1.202102780342102,instrumental,Jazz---Gypsy Jazz,4.9241815,3.8728924
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/3S/3SLHDuEf8RCAGHmdh5tr9u.mp3,122.85833740234376,1.288128137588501,voice,Rock---Dream Pop,5.9999046,6.289972
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/31/31jC6KX8ESF4zw2vcXgiH1.mp3,90.02989959716797,1.374401330947876,voice,Latin---Reggaeton,5.7922554,5.762228
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/1q/1qYYruLP1FATpnZxPMHUut.mp3,79.15126037597656,1.075800895690918,voice,Rock---Doo Wop,5.1177607,4.577432
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/1S/1S3I2Xe2bCTi6ZqkzZOF0d.mp3,92.82396697998048,1.1511417627334597,voice,Rock---Alternative Rock,4.308587,4.581753
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/1p/1p5e91AoOaUA5hsi2FeKGv.mp3,107.0161590576172,1.3878933191299438,voice,Rock---Brit Pop,5.723214,6.477677
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/7a/7awa8g55I1LyxDxawUz0CB.mp3,163.03628540039062,1.3157655000686646,voice,Electronic---Electro,5.7370787,6.211024
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/7a/7aremNTdmGYyLpVr8bwg6s.mp3,156.236572265625,2.277486562728882,instrumental,Rock---Pop Rock,6.5583,6.961612
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/01/01fFNfzZicmAL8ROZWOiu4.mp3,111.8316421508789,1.20634126663208,voice,Rock---Alternative Rock,4.9325624,5.621441
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/3o/3oVgYDihp06yhea25YjOOm.mp3,161.4989776611328,1.233700394630432,voice,Hip Hop---Gangsta,4.8490868,6.6923733
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/0b/0b9kzYFHbjuFHqJNiGsw5L.mp3,119.99844360351562,1.078006625175476,voice,Rock---Alternative Rock,5.350661,6.310846
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/3b/3bUflsKXxlXvT3EoxfSn7r.mp3,178.2058563232422,1.1703654527664185,voice,Rock---Power Metal,4.464346,5.739031
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/7s/7s041G2EuRCrEgjlQtdKgH.mp3,113.56748962402344,0.9979908466339112,voice,Pop---Vocal,5.33195,4.917526
